CPRY	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPRY.TXT
CPST	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPST.TXT
CPSV	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPSV.TXT
CPXL	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPXL.TXT
CQCM	Station name not available	2010.10.28 1250 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CQCM.TXT
CQTF	Station name not available	2014.06.01 1844 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CQTF.TXT
CQWN	Station name not available	2013.06.04 1700 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CQWN.TXT
CRNM	Station name not available	2009.07.23 1653 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CRNM.TXT
CTCK	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CTCK.TXT
CTNK	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CTNK.TXT
CTRA	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CTRA.TXT
CWAE	Whistler , Canada (CWAE) 50-08N 122-57W	2016.04.07 0100 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CWAE.TXT
CWAF	Ile Rouge Meteorological Aeronautical Presentation System , Canada (CWAF) 48-05N 069-33W	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CWAF.TXT
CWAJ	Erieau Meteorological Aeronautical Presentation System , Canada (CWAJ) 42-15N 081-54W	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CWAJ.TXT
CWAQ	Coronach Spc, Canada (CWAQ) 49-03N 105-29W	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CWAQ.TXT
